1.176470000000000073e+04 4.381486104794742438e-05
1.178210000000000036e+04 6.110277315432642142e-05
1.179950000000000000e+04 8.501612715842652975e-05
1.181689999999999964e+04 1.180136645165739658e-04
1.183450000000000000e+04 1.640454452615627606e-04
1.185200000000000000e+04 2.270606111976125521e-04
1.186960000000000036e+04 3.141023724829443051e-04
1.188729999999999927e+04 4.342378930306233778e-04
1.190500000000000000e+04 5.988272748276197727e-04
1.192279999999999927e+04 8.252143709276364833e-04
1.194060000000000036e+04 1.134297358001340851e-03
1.195850000000000000e+04 1.557917775521147326e-03
1.197650000000000000e+04 2.137946974737029750e-03
1.199450000000000000e+04 2.926223788340075443e-03
1.201250000000000000e+04 3.994599521343661537e-03
1.203060000000000036e+04 5.447943829884419227e-03
1.204879999999999927e+04 7.422733988437490646e-03
1.206700000000000000e+04 1.008595533894389960e-02
1.208520000000000073e+04 1.366752943976326344e-02
1.210350000000000000e+04 1.850104986221901351e-02
1.212189999999999964e+04 2.501582616889818506e-02
1.214039999999999964e+04 3.378502214252225577e-02
1.215879999999999927e+04 4.542680386362506900e-02
1.217739999999999964e+04 6.110322652393482268e-02
1.219600000000000000e+04 8.195484178732766190e-02
1.221460000000000036e+04 1.096080869679476461e-01
1.223339999999999964e+04 1.466239042739248544e-01
1.225210000000000036e+04 1.952692414420838241e-01
1.227100000000000000e+04 2.600848583103758660e-01
1.228979999999999927e+04 3.448750312691682418e-01
1.230879999999999927e+04 4.573183161518971085e-01
1.232779999999999927e+04 6.046088549834284231e-01
1.234689999999999964e+04 7.980991778565266204e-01
1.236600000000000000e+04 1.050324701358675838e+00
1.238520000000000073e+04 1.380029309265326853e+00
1.240439999999999964e+04 1.807685089200585349e+00
1.242370000000000073e+04 2.363887537655371407e+00
1.244310000000000036e+04 3.085881153575878333e+00
1.246250000000000000e+04 4.015803826416183497e+00
1.248200000000000000e+04 5.216576175549774597e+00
1.250150000000000000e+04 6.754994032280943195e+00
1.252110000000000036e+04 8.730829728771437814e+00
1.254079999999999927e+04 1.126304327801642202e+01
1.256050000000000000e+04 1.448282909870495772e+01
1.258029999999999927e+04 1.858625600003857414e+01
1.260010000000000036e+04 2.377460145835275895e+01
1.262010000000000036e+04 3.038615344329895862e+01
1.264000000000000000e+04 3.866072579289834721e+01
