   system       e0        omega     s      sigma0    dsigma     I      error    f0        fsol
    ddi_et   14082.220  1183.993  0.497   346.364   149.084 3.206e+08  0.030 1.385e+00 1.883e+00
    c47_et   26127.239  1462.795  0.977   863.987   108.960 1.041e+08  0.006 4.497e-01 6.115e-01
   006_hex   40707.033  1991.008  2.096  1371.778     0.470 4.538e+07  0.010 1.960e-01 2.686e-01
   016_hep   42941.366  1987.429  0.484  1487.720   360.974 1.765e+07  0.025 7.626e-02 1.060e-01
    061_et   26746.331  1913.952  0.609  1153.683   228.199 2.140e+07  0.017 9.245e-02 1.257e-01
    068_me   23494.270  1890.654  0.650  1463.281   257.431 2.164e+07  0.015 9.348e-02 1.243e-01
    077_me   23090.179  1994.296  0.554  1554.254   263.276 3.421e+07  0.013 1.478e-01 1.965e-01
    085_me   29790.788  1968.035  1.310  1716.600   789.602 4.949e+07  0.018 2.138e-01 2.844e-01
    099_et   24983.240  1544.922  0.814  1098.153   138.596 1.849e+07  0.022 7.987e-02 1.086e-01
