Wavelength,Wavenumber,Epsilon
319.6706116,31282,506
320.8631245,31166,510
322.1473743,31042,515
323.4648166,30915,519
324.6628159,30801,524
325.9664937,30678,528
327.4307244,30541,533
328.6633636,30426,540
329.9476709,30308,553
331.1258192,30200,571
332.0126448,30119,587
332.8360063,30045,606
333.6222974,29974,632
334.0058571,29940,648
334.6182246,29885,669
334.9267861,29857,690
335.5103439,29805,706
336.1912684,29745,728
336.7544684,29695,750
337.3750995,29641,774
337.8867104,29596,797
338.6812291,29526,825
339.3123563,29471,857
339.8859889,29422,882
340.6981786,29351,915
341.3284265,29297,946
341.8275555,29255,974
342.1403869,29228,990
342.7085361,29179,1030
343.3697689,29123,1056
343.9573401,29073,1088
344.5470519,29024,1123
345.1387048,28974,1158
345.6552367,28931,1196
346.3282127,28874,1231
346.925833,28825,1267
347.5254338,28775,1303
348.1274977,28725,1345
348.7314788,28675,1386
349.3969228,28621,1428
349.94575,28576,1471
350.7307659,28512,1528
351.3948275,28458,1576
352.0100404,28408,1622
352.7076754,28352,1663
353.3278451,28302,1717
353.9504217,28253,1775
354.8705175,28179,1847
355.8117455,28105,1914
356.6841407,28036,1971
357.3258692,27986,2033
358.0283973,27931,2097
358.9865138,27856,2174
359.950094,27782,2260
360.9187396,27707,2347
361.8922872,27633,2431
362.8711421,27558,2519
363.8545667,27484,2593
364.5320627,27432,2673
365.5072766,27359,2762
366.5055617,27285,2856
367.5095664,27210,2958
368.3847423,27146,3030
369.1283071,27091,3086
369.8202839,27040,3166
370.8940075,26962,3265
371.8424568,26893,3373
372.9122553,26816,3479
374.210826,26723,3587
375.6056728,26624,3698
377.1427489,26515,3809
378.7802648,26401,3894
380.5663475,26277,3980
382.3689546,26153,4055
384.1883896,26029,4122
386.0249262,25905,4180
387.8779095,25781,4201
389.7486547,25658,4219
391.6369992,25534,4220
393.6869619,25401,4206
395.3811295,25292,4162
397.1055771,25182,4100
398.8080845,25075,4052
399.9333234,25004,3988
401.4967628,24907,3866
402.3541042,24854,3831
403.3450502,24793,3738
404.9004158,24697,3657
406.116059,24624,3536
407.3986219,24546,3441
408.1546546,24501,3366
409.0984139,24444,3247
410.6981368,24349,3168
411.3462768,24310,3107
411.6324043,24294,3026
412.4323343,24246,2924
412.7789349,24226,2840
413.680162,24173,2764
414.5144779,24125,2646
415.3079222,24079,2558
415.9959966,24039,2451
416.6748295,24000,2355
417.5774819,23948,2263
417.860889,23931,2200
418.2901987,23907,2155
418.826798,23876,2084
419.5781893,23833,1961
419.6547344,23829,2011
420.1563949,23801,1920
420.5046653,23781,1852
421.2027627,23742,1781
421.8428924,23706,1703
422.326711,23678,1640
422.6159676,23662,1587
423.2016624,23629,1545
423.6187818,23606,1494
423.9304234,23589,1441
424.4251064,23561,1387
424.9368527,23533,1334
425.2506298,23516,1289
425.692067,23491,1238
426.190131,23464,1186
426.5735442,23443,1113
426.7286754,23434,1148
427.0198884,23418,1084
427.4656892,23394,1046
427.8097691,23375,996
427.96825,23366,1024
428.4600543,23339,975
428.5519447,23334,956
428.8711507,23317,924
429.4074905,23288,890
429.7989923,23267,867
430.2905497,23240,840
430.4594567,23231,812
431.1427784,23194,785
431.5205766,23174,758
431.8230232,23158,736
432.5434091,23119,687
432.5489864,23119,711
432.8867617,23101,671
433.3450363,23076,647
433.8042655,23052,625
434.2648238,23027,605
434.3774504,23021,590
434.87936,22995,575
435.1807414,22979,539
435.3421345,22970,556
435.8014129,22946,523
436.2669409,22922,509
436.5749186,22906,490
437.0419885,22881,476
437.3059607,22867,459
438.0817981,22827,441
438.375139,22812,420
438.568569,22801,432
439.0920254,22774,406
439.3840648,22759,391
440.0351744,22725,376
440.3286629,22710,363
440.8027003,22686,350
441.4398901,22653,341
441.6836906,22641,318
441.6900976,22640,330
442.2096826,22614,306
442.5448205,22597,299
443.0246309,22572,290
443.2654337,22560,284
443.5576901,22545,278
444.2071527,22512,267
444.3262381,22506,264
444.3305606,22506,271
444.5667375,22494,256
445.2189691,22461,246
445.3888745,22452,241
445.6544204,22439,235
446.0791391,22418,228
446.4243633,22400,219
447.238315,22359,211
447.540712,22344,203
447.8651388,22328,196
448.5179326,22296,186
448.52283,22295,191
448.7567052,22284,175
449.1771095,22263,180
449.7145836,22236,170
450.1616963,22214,165
450.4898275,22198,159
450.9024896,22178,154
451.5945237,22144,147
452.1483619,22117,141
452.2621009,22111,136
453.0917701,22071,131
453.6497151,22043,126
454.045539,22024,121
454.6311919,21996,116
454.9897118,21979,112
455.4318488,21957,108
456.2616292,21917,105
456.3118955,21915,101
456.3164545,21915,103
456.7273766,21895,97
456.9297947,21885,94
457.7214341,21847,91
