Wavelength,Wavenumber,Epsilon
434.2,23030.8,3.82169E+03
435.5,22964.6,3.77136E+03
436.7,22898.7,3.69987E+03
438.0,22833.3,3.84660E+03
439.2,22768.2,3.87913E+03
440.5,22703.4,3.90022E+03
441.7,22639.0,4.17516E+03
443.0,22575.0,4.16188E+03
444.2,22511.4,3.93826E+03
445.5,22448.1,4.02793E+03
446.7,22385.2,4.14056E+03
448.0,22322.6,4.07101E+03
449.2,22260.3,3.80861E+03
450.5,22198.5,3.76554E+03
451.7,22136.9,3.53283E+03
453.0,22075.7,3.27448E+03
454.2,22014.8,3.04951E+03
455.5,21954.3,2.84507E+03
456.7,21894.1,2.74152E+03
458.0,21834.2,2.32389E+03
459.2,21774.7,2.44193E+03
460.5,21715.5,2.10459E+03
461.8,21656.6,2.09502E+03
463.0,21598.0,1.67841E+03
464.3,21539.7,1.82648E+03
465.5,21481.8,1.76452E+03
466.8,21424.1,1.56407E+03
468.0,21366.8,1.44829E+03
469.3,21309.8,1.42973E+03
470.5,21253.1,1.60996E+03
471.8,21196.7,1.58700E+03
473.0,21140.5,1.58641E+03
474.3,21084.7,1.53639E+03
475.5,21029.2,1.41981E+03
476.8,20973.9,1.21654E+03
478.0,20919.0,1.19523E+03
479.3,20864.3,1.18750E+03
480.5,20809.9,1.14429E+03
481.8,20755.8,1.28055E+03
483.0,20702.0,1.33294E+03
484.3,20648.5,1.22568E+03
485.5,20595.2,9.51986E+02
486.8,20542.3,9.55788E+02
488.1,20489.5,9.03020E+02
489.3,20437.1,1.16768E+03
490.6,20384.9,1.07830E+03
491.8,20333.0,8.34830E+02
493.1,20281.4,7.57444E+02
494.3,20230.0,7.03246E+02
495.6,20178.8,7.79451E+02
496.8,20128.0,9.12223E+02
498.1,20077.4,8.88868E+02
499.3,20027.0,6.67272E+02
500.6,19976.9,6.90000E+02
501.8,19927.0,7.07481E+02
503.1,19877.4,7.11968E+02
504.3,19828.1,6.87437E+02
505.6,19779.0,6.90000E+02
506.8,19730.1,6.90000E+02
508.1,19681.5,6.90000E+02
509.3,19633.1,6.90000E+02
510.6,19584.9,6.90000E+02
511.8,19537.0,6.90000E+02
513.1,19489.3,6.91294E+02
514.4,19441.8,7.98477E+02
515.6,19394.6,1.09915E+03
516.9,19347.6,1.05800E+03
518.1,19300.9,9.13299E+02
519.4,19254.3,1.33327E+03
520.6,19208.0,1.28800E+03
521.9,19161.9,1.17594E+03
523.1,19116.0,1.15000E+03
524.4,19070.4,1.16181E+03
525.6,19024.9,1.20138E+03
526.9,18979.7,1.19600E+03
528.1,18934.7,1.25655E+03
529.4,18889.9,1.44643E+03
530.6,18845.3,1.67312E+03
531.9,18800.9,1.81369E+03
533.1,18756.8,1.78108E+03
534.4,18712.8,1.63898E+03
535.6,18669.1,1.82103E+03
536.9,18625.5,2.16774E+03
538.2,18582.2,2.31780E+03
539.4,18539.0,2.46759E+03
540.7,18496.1,2.42685E+03
541.9,18453.3,2.70261E+03
543.2,18410.8,2.61592E+03
544.4,18368.4,2.96102E+03
545.7,18326.3,3.08933E+03
546.9,18284.3,3.35933E+03
548.2,18242.5,3.26018E+03
549.4,18200.9,3.39532E+03
550.7,18159.6,3.77576E+03
551.9,18118.3,3.78317E+03
553.2,18077.3,3.82585E+03
554.4,18036.5,4.08354E+03
555.7,17995.8,4.11377E+03
556.9,17955.4,4.25687E+03
558.2,17915.1,4.53360E+03
559.4,17875.0,4.77308E+03
560.7,17835.1,4.80626E+03
561.9,17795.3,4.94663E+03
563.2,17755.7,5.37257E+03
564.5,17716.3,5.48549E+03
565.7,17677.1,5.78108E+03
567.0,17638.1,5.86292E+03
568.2,17599.2,6.08553E+03
569.5,17560.5,6.47839E+03
570.7,17521.9,6.66120E+03
572.0,17483.6,7.02648E+03
573.2,17445.4,7.29560E+03
574.5,17407.3,7.80087E+03
575.7,17369.5,8.32381E+03
577.0,17331.8,8.93917E+03
578.2,17294.2,9.35504E+03
579.5,17256.9,9.89797E+03
580.7,17219.6,1.02902E+04
582.0,17182.6,1.08670E+04
583.2,17145.7,1.15865E+04
584.5,17108.9,1.20179E+04
585.7,17072.4,1.27719E+04
587.0,17035.9,1.32679E+04
588.2,16999.7,1.42070E+04
589.5,16963.6,1.47169E+04
590.8,16927.6,1.52675E+04
592.0,16891.8,1.58485E+04
593.3,16856.1,1.63930E+04
594.5,16820.6,1.70755E+04
595.8,16785.3,1.76673E+04
597.0,16750.0,1.83373E+04
598.3,16715.0,1.88241E+04
599.5,16680.1,1.91847E+04
600.8,16645.3,1.95698E+04
602.0,16610.7,1.98127E+04
603.3,16576.2,2.05051E+04
604.5,16541.8,2.07412E+04
605.8,16507.6,2.09476E+04
607.0,16473.6,2.16326E+04
608.3,16439.7,2.18311E+04
609.5,16405.9,2.21970E+04
610.8,16372.2,2.28382E+04
612.0,16338.7,2.31350E+04
613.3,16305.4,2.40285E+04
614.5,16272.1,2.46500E+04
615.8,16239.0,2.52658E+04
617.1,16206.1,2.61879E+04
618.3,16173.3,2.70550E+04
619.6,16140.6,2.84086E+04
620.8,16108.0,2.97139E+04
622.1,16075.6,3.14017E+04
623.3,16043.3,3.27745E+04
624.6,16011.1,3.48546E+04
625.8,15979.1,3.66630E+04
627.1,15947.2,3.87539E+04
628.3,15915.4,4.12290E+04
629.6,15883.7,4.34352E+04
630.8,15852.2,4.63659E+04
632.1,15820.8,4.86028E+04
633.3,15789.5,5.15097E+04
634.6,15758.3,5.43576E+04
635.8,15727.3,5.74139E+04
637.1,15696.4,6.03923E+04
638.3,15665.6,6.30954E+04
639.6,15634.9,6.59846E+04
640.8,15604.3,6.84850E+04
642.1,15573.9,7.09534E+04
643.4,15543.6,7.34492E+04
644.6,15513.4,7.53754E+04
645.9,15483.3,7.70921E+04
647.1,15453.3,7.85861E+04
648.4,15423.5,8.00711E+04
649.6,15393.7,8.09551E+04
650.9,15364.1,8.15599E+04
652.1,15334.6,8.17257E+04
653.4,15305.2,8.17997E+04
654.6,15275.9,8.16020E+04
655.9,15246.8,8.08955E+04
657.1,15217.7,8.02343E+04
658.4,15188.8,7.93370E+04
659.6,15159.9,7.83565E+04
660.9,15131.2,7.73314E+04
662.1,15102.6,7.62618E+04
663.4,15074.1,7.52109E+04
664.6,15045.7,7.44101E+04
665.9,15017.4,7.38035E+04
667.1,14989.2,7.31849E+04
668.4,14961.1,7.29484E+04
669.7,14933.1,7.28103E+04
670.9,14905.2,7.29511E+04
672.2,14877.5,7.37692E+04
673.4,14849.8,7.48870E+04
674.7,14822.2,7.64743E+04
675.9,14794.8,7.81891E+04
677.2,14767.4,8.07049E+04
678.4,14740.1,8.38675E+04
679.7,14713.0,8.71570E+04
680.9,14685.9,9.11710E+04
682.2,14658.9,9.57210E+04
683.4,14632.1,1.01023E+05
684.7,14605.3,1.06144E+05
685.9,14578.7,1.12465E+05
687.2,14552.1,1.19064E+05
688.4,14525.6,1.26035E+05
689.7,14499.2,1.32947E+05
690.9,14473.0,1.40787E+05
692.2,14446.8,1.49141E+05
693.4,14420.7,1.56474E+05
694.7,14394.7,1.64750E+05
696.0,14368.8,1.73162E+05
697.2,14343.0,1.81597E+05
698.5,14317.2,1.88825E+05
699.7,14291.6,1.96348E+05
701.0,14266.1,2.03465E+05
702.2,14240.6,2.09894E+05
703.5,14215.3,2.15371E+05
704.7,14190.0,2.20189E+05
706.0,14164.8,2.24304E+05
707.2,14139.8,2.27476E+05
708.5,14114.8,2.28988E+05
709.7,14089.9,2.29952E+05
711.0,14065.0,2.29847E+05
712.2,14040.3,2.28349E+05
713.5,14015.7,2.25676E+05
714.7,13991.1,2.22237E+05
716.0,13966.6,2.17248E+05
717.2,13942.2,2.11727E+05
718.5,13917.9,2.04642E+05
719.7,13893.7,1.97395E+05
721.0,13869.6,1.89001E+05
722.3,13845.5,1.80559E+05
723.5,13821.6,1.71032E+05
724.8,13797.7,1.60948E+05
726.0,13773.9,1.51346E+05
727.3,13750.2,1.42153E+05
728.5,13726.5,1.32098E+05
729.8,13703.0,1.22124E+05
731.0,13679.5,1.12726E+05
732.3,13656.1,1.03555E+05
733.5,13632.8,9.45834E+04
734.8,13609.5,8.67337E+04
