Wavelength,Wavenumber,Epsilon
323.6404071,30898,417
325.2387234,30747,419
326.9874975,30582,426
328.4191714,30449,438
329.8504554,30317,454
331.2311403,30190,470
332.576674,30068,487
333.7249198,29965,506
335.6124384,29796,538
336.8482951,29687,563
337.7512094,29608,583
338.7418483,29521,605
339.7590416,29433,628
340.908133,29333,656
341.8115974,29256,682
342.6988128,29180,706
343.4416136,29117,729
344.465972,29030,755
345.2377525,28966,782
346.2727237,28879,813
347.0523975,28814,844
347.9671088,28738,875
349.0183821,28652,911
349.9875087,28572,947
350.9171089,28497,991
352.0227527,28407,1026
352.9271666,28334,1070
353.873071,28259,1109
354.8238609,28183,1154
355.9399569,28095,1201
356.9248196,28017,1251
357.7532518,27952,1300
358.7249676,27877,1353
359.7951958,27794,1416
360.8721808,27711,1474
361.2940131,27678,1526
362.3328722,27599,1582
363.4487476,27514,1653
364.2832971,27451,1729
365.4353429,27365,1808
366.3037159,27300,1880
367.3226932,27224,1952
368.4452998,27141,2032
369.5068667,27063,2116
370.5866162,26984,2215
371.4544316,26921,2313
372.6528437,26835,2403
373.7325508,26757,2501
374.6159636,26694,2586
375.6821643,26618,2671
376.7541978,26543,2768
377.9870453,26456,2878
379.0980755,26378,2991
379.4594446,26353,3097
381.3050314,26226,3187
382.7614702,26126,3371
384.2206558,26027,3509
385.3955978,25947,3644
386.8752197,25848,3782
388.3661277,25749,3931
389.5667022,25670,4077
391.0788977,25570,4216
392.6303547,25469,4381
394.1942928,25368,4545
395.8368552,25263,4714
397.6932626,25145,4888
399.4774627,25033,5064
401.0509244,24934,5276
403.1634266,24804,5401
404.3640792,24730,5580
406.4319639,24604,5748
408.6880821,24469,5930
411.4085674,24307,6149
413.9933496,24155,6280
416.6109075,24003,6407
419.2622379,23851,6506
421.9481388,23700,6565
424.6693852,23548,6578
427.4263435,23396,6566
430.2201585,23244,6501
433.0512293,23092,6406
435.5604101,22959,6249
438.3068847,22815,6111
440.3338636,22710,5939
442.7698815,22585,5737
445.1853938,22463,5534
447.2894283,22357,5343
449.2917812,22257,5157
450.8704294,22179,4988
452.4231375,22103,4827
453.7259299,22040,4668
455.2987833,21964,4503
457.1098771,21877,4315
458.4784929,21811,4150
459.7501412,21751,3994
461.344094,21676,3806
462.9941021,21599,3634
464.154752,21545,3492
466.2357615,21448,3286
467.5547035,21388,3148
468.5749525,21341,3056
469.6538651,21292,2943
471.0989552,21227,2826
471.665817,21201,2726
472.798499,21151,2644
474.1511897,21090,2540
474.675305,21067,2434
475.8234634,21016,2343
476.9571804,20966,2246
478.2205464,20911,2149
479.3969566,20860,2040
480.6017072,20807,1947
480.8988226,20794,1878
482.0773962,20744,1807
483.3477308,20689,1719
483.8605878,20667,1648
484.8833481,20624,1589
485.3999376,20602,1518
486.1590607,20569,1457
487.1662913,20527,1370
487.4631607,20514,1409
488.0734923,20489,1325
488.5813894,20467,1276
489.595261,20425,1232
489.7013837,20421,1186
490.2568504,20397,1137
491.134485,20361,1079
491.7521923,20335,1028
492.6827483,20297,950
493.1475466,20278,925
493.1610311,20277,985
493.703157,20255,889
493.9325578,20246,831
494.0795886,20240,791
494.3598286,20228,865
495.4075992,20185,744
495.708512,20173,717
496.7559917,20131,673
497.2639977,20110,636
