Wavelength,Wavenumber,Epsilon
320.9401059,31158,320
322.5879465,30999,322
324.3934848,30827,328
325.9393759,30681,340
327.7031178,30515,351
329.1402852,30382,362
330.7632011,30233,376
331.9806451,30122,390
333.1577354,30016,403
333.8984737,29949,415
334.4941474,29896,427
336.0193709,29760,446
337.3481572,29643,469
338.5432783,29538,490
339.3313605,29470,509
340.2540013,29390,527
341.1818381,29310,546
342.1149402,29230,566
343.0531602,29150,587
343.9969273,29070,611
344.9459014,28990,635
345.9004518,28910,663
346.8601687,28830,690
347.8253578,28750,720
348.7959997,28670,751
349.7718742,28590,783
350.7532247,28510,815
351.7400299,28430,849
352.7321322,28350,882
353.8724096,28259,919
354.733496,28190,955
355.9113833,28097,999
357.0965006,28004,1041
358.1194008,27924,1084
359.1482202,27844,1130
359.8386978,27790,1172
360.8769938,27710,1217
361.9221698,27630,1272
362.9729149,27550,1325
364.0303567,27470,1385
365.0938324,27390,1446
366.163613,27310,1512
367.2395343,27230,1578
368.3207031,27150,1635
369.2279981,27084,1701
370.1390275,27017,1760
371.2372866,26937,1823
372.3427473,26857,1897
373.6135681,26766,1976
374.5733544,26697,2050
375.6985257,26617,2129
376.9927614,26526,2223
377.9700641,26457,2308
379.2790282,26366,2394
380.4875216,26282,2486
382.007725,26177,2585
383.5685191,26071,2697
385.1415134,25964,2803
386.7275235,25858,2915
387.7255939,25791,2990
389.0443816,25704,3101
390.6556673,25598,3163
392.8582963,25454,3312
394.8519322,25326,3426
396.8666149,25197,3558
399.6235841,25024,3686
401.2887994,24920,3809
404.0309179,24751,3937
406.8076435,24582,4078
409.4620406,24422,4179
412.1501941,24263,4257
414.872001,24104,4293
417.6281904,23945,4288
420.4198014,23786,4252
423.2476176,23627,4186
426.1127429,23468,4101
428.8415002,23319,3993
430.2342649,23243,3896
432.6974375,23111,3805
434.4712171,23016,3687
436.4395295,22913,3566
438.4610981,22807,3432
440.463727,22703,3288
441.780869,22636,3142
443.5525892,22545,3029
444.1067895,22517,2929
445.9366633,22425,2822
447.5143806,22346,2699
448.3931429,22302,2602
449.8092081,22232,2487
451.4355935,22152,2363
452.5773622,22096,2265
453.3857104,22056,2188
454.4711017,22004,2118
455.4686295,21955,2038
456.5613935,21903,1950
457.6595277,21850,1867
458.8553425,21793,1783
459.9643651,21741,1705
461.0782651,21688,1628
461.6325229,21662,1558
462.7548071,21610,1489
463.6930658,21566,1427
464.5392006,21527,1364
465.5798798,21479,1304
466.4349277,21439,1257
467.3745726,21396,1205
468.4394659,21347,1141
469.6767668,21291,1081
470.3146395,21262,1035
471.4922206,21209,986
472.2016968,21177,927
472.9919076,21142,877
474.2540501,21086,833
474.9596748,21054,797
476.0260529,21007,757
477.2156583,20955,712
477.5073266,20942,683
478.4048907,20903,653
479.0010358,20877,624
479.6008385,20851,601
480.5071387,20811,577
480.8037526,20799,555
481.4073237,20772,533
482.0124121,20746,512
482.6193281,20720,493
483.2282325,20694,475
483.8385222,20668,457
484.4506623,20642,441
485.0638917,20616,424
485.6792925,20590,409
486.8314464,20541,390
487.5401843,20511,375
488.1621223,20485,362
488.9129995,20454,350
489.7305964,20419,340
